,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,Borgarnes,64.54,-21.92,46.0,87,18,3.36,IS,2020-08-24 02:30:08
309,San Gabriel,34.1,-118.11,86.0,51,1,8.05,US,2020-08-24 02:27:31
310,Mitu,1.2,-70.17,73.13,77,29,0.96,CO,2020-08-24 02:28:24
311,Nouadhibou,20.93,-17.03,75.2,78,31,9.17,MR,2020-08-24 02:30:09
312,Sur,22.57,59.53,78.96,79,70,11.48,OM,2020-08-24 02:30:09
313,Okoneshnikovo,54.84,75.08,57.81,83,100,6.78,RU,2020-08-24 02:30:09
314,Kulhudhuffushi,6.62,73.07,83.37,69,66,7.47,MV,2020-08-24 02:30:10
315,Jumla,29.27,82.18,69.75,60,84,2.44,NP,2020-08-24 02:30:10
316,Tabuk,17.42,121.44,87.57,62,87,4.45,PH,2020-08-24 02:30:10
317,Mikhaylovka,50.06,43.24,57.6,62,0,0.25,RU,2020-08-24 02:30:10
318,Stornoway,58.21,-6.39,46.0,93,56,2.24,GB,2020-08-24 02:30:11
319,Marawi,8.0,124.29,84.0,78,77,5.99,PH,2020-08-24 02:30:11
320,Vestmanna,62.16,-7.17,44.6,93,92,7.47,FO,2020-08-24 02:30:11
321,Torbay,47.67,-52.73,61.0,82,5,16.11,CA,2020-08-24 02:30:11
322,Denia,38.84,0.11,79.0,79,0,3.31,ES,2020-08-24 02:30:12
323,Saint-Augustin,51.23,-58.65,55.26,79,59,8.57,CA,2020-08-24 02:30:12
324,Kisangani,0.52,25.2,69.82,94,100,1.03,CD,2020-08-24 02:30:12
325,Sokoni,-6.43,39.55,73.4,88,20,10.94,TZ,2020-08-24 02:30:12
326,Bestobe,52.5,73.1,60.33,72,0,7.45,KZ,2020-08-24 02:30:12
327,San Antonio,29.42,-98.49,88.0,48,1,4.7,US,2020-08-24 02:29:02
328,Quarai,-30.39,-56.45,54.28,88,0,11.92,BR,2020-08-24 02:30:13
329,Ambanja,-13.68,48.45,66.9,72,69,3.85,MG,2020-08-24 02:30:14
330,Sorland,67.67,12.69,52.92,79,33,22.12,NO,2020-08-24 02:30:14
331,Dudinka,69.41,86.18,60.8,77,100,17.9,RU,2020-08-24 02:30:14
332,Oktyabrskoye,43.06,44.74,48.2,93,0,6.71,RU,2020-08-24 02:30:14
333,Athlone,53.43,-7.95,53.01,92,39,2.26,IE,2020-08-24 02:30:14
334,Rafraf,37.19,10.18,77.0,69,20,11.41,TN,2020-08-24 02:30:15
335,Shadegan,30.65,48.66,84.2,51,0,2.24,IR,2020-08-24 02:30:15
336,Uspenka,48.39,39.16,58.77,55,0,1.48,UA,2020-08-24 02:30:15
337,Talcahuano,-36.72,-73.12,51.8,87,90,8.05,CL,2020-08-24 02:30:15
338,Opuwo,-18.06,13.84,53.49,57,0,1.83,NA,2020-08-24 02:30:16
339,Thompson,55.74,-97.86,53.6,100,90,8.05,CA,2020-08-24 02:30:16
340,Mwense,-10.38,28.7,63.48,60,10,5.44,ZM,2020-08-24 02:30:16
341,Gilgit,35.92,74.31,84.78,26,0,3.42,PK,2020-08-24 02:30:16
342,Dhidhdhoo,6.88,73.1,83.5,69,71,7.38,MV,2020-08-24 02:30:16
343,Belmonte,-15.86,-38.88,66.2,88,75,8.05,BR,2020-08-24 02:30:17
344,Conselheiro Pena,-19.17,-41.47,59.18,83,39,0.81,BR,2020-08-24 02:30:17
345,Quelimane,-17.88,36.89,66.2,88,0,2.33,MZ,2020-08-24 02:30:17
346,Santa Cruz,-17.8,-63.17,64.4,68,0,9.17,BO,2020-08-24 02:29:58
347,Moose Factory,51.26,-80.61,48.2,87,75,4.7,CA,2020-08-24 02:30:18
348,Lesnica,44.65,19.31,68.0,94,75,1.12,RS,2020-08-24 02:30:18
349,Aflao,6.12,1.19,73.4,94,75,8.05,TG,2020-08-24 02:30:18
350,Juba,4.85,31.58,68.25,95,99,1.19,SS,2020-08-24 02:30:18
351,Sumbe,-11.21,13.84,69.1,88,72,1.16,AO,2020-08-24 02:30:18
352,Brae,60.4,-1.35,48.2,87,86,3.36,GB,2020-08-24 02:30:19
353,Kwale,5.71,6.44,72.37,96,100,2.95,NG,2020-08-24 02:30:19
354,Amparafaravola,-17.58,48.22,50.22,95,99,4.07,MG,2020-08-24 02:30:19
355,Manbij,36.53,37.95,68.0,42,0,1.12,SY,2020-08-24 02:30:19
356,Santa Lucia,27.91,-15.54,78.8,47,0,27.51,ES,2020-08-24 02:30:19
357,Santa Rosa,14.31,121.11,89.01,74,100,6.93,PH,2020-08-24 02:30:20
358,Stromness,58.97,-3.3,46.4,87,19,6.93,GB,2020-08-24 02:30:20
359,Pangnirtung,66.15,-65.71,45.43,79,100,1.99,CA,2020-08-24 02:30:20
360,Celles,50.71,3.46,60.01,79,99,5.01,BE,2020-08-24 02:30:20
361,Prien,30.18,-93.27,84.2,78,1,4.7,US,2020-08-24 02:30:21
362,Lyngseidet,69.58,20.22,50.72,81,100,7.9,NO,2020-08-24 02:30:21
363,Caravelas,-17.71,-39.25,69.71,79,100,11.05,BR,2020-08-24 02:29:53
364,Mochudi,-24.42,26.15,46.4,52,0,3.36,BW,2020-08-24 02:30:21
365,Harboore,56.62,8.18,54.0,81,98,17.31,DK,2020-08-24 02:30:21
366,Hauterive,46.09,3.45,57.2,82,75,3.02,FR,2020-08-24 02:30:22
367,Am Timan,11.03,20.28,71.49,93,100,2.08,TD,2020-08-24 02:30:22
368,Baoro,5.67,15.97,65.86,97,100,2.3,CF,2020-08-24 02:30:22
369,Mazurivka,49.27,24.21,64.4,100,75,4.47,UA,2020-08-24 02:30:22
370,Mindelo,16.89,-24.98,77.99,83,66,7.47,CV,2020-08-24 02:30:22
371,Batticaloa,7.71,81.69,83.88,64,73,5.19,LK,2020-08-24 02:30:23
372,Hadrut,39.52,47.03,58.35,70,96,1.66,AZ,2020-08-24 02:30:23
373,Jaciara,-15.97,-54.97,70.74,58,0,1.88,BR,2020-08-24 02:30:23
374,Makungu,-8.73,35.28,59.27,89,97,5.28,TZ,2020-08-24 02:30:23
375,Kundian,32.46,71.48,92.5,48,28,12.21,PK,2020-08-24 02:30:23
376,Bakel,14.9,-12.46,79.03,85,98,5.44,SN,2020-08-24 02:30:24
377,Rawson,-43.3,-65.1,53.06,44,100,1.81,AR,2020-08-24 02:30:24
378,Ayaviri,-14.89,-70.59,43.61,58,8,0.85,PE,2020-08-24 02:30:24
379,Lamu,-2.27,40.9,74.73,82,44,13.0,KE,2020-08-24 02:30:24
380,Merke,42.87,73.18,81.68,22,99,5.57,KZ,2020-08-24 02:30:24
381,Warmbad,-28.45,18.73,56.17,35,0,2.66,NA,2020-08-24 02:30:25
382,Veraval,20.9,70.37,82.51,83,100,21.32,IN,2020-08-24 02:30:25
383,Mogadishu,2.04,45.34,75.36,80,28,13.24,SO,2020-08-24 02:30:03
384,Grootfontein,-19.57,18.12,48.04,68,0,2.53,NA,2020-08-24 02:30:25
385,Carnarvon,-24.87,113.63,69.8,52,0,17.22,AU,2020-08-24 02:27:01
386,La Rioja,42.25,-2.5,59.0,82,0,6.93,ES,2020-08-24 02:30:26
387,Impfondo,1.64,18.07,71.65,91,100,1.95,CG,2020-08-24 02:30:26
388,Tandil,-37.32,-59.13,48.99,74,0,1.01,AR,2020-08-24 02:28:00
389,Sarankhola,22.31,89.79,83.73,83,74,4.97,BD,2020-08-24 02:30:26
390,Srednyaya Akhtuba,48.71,44.87,50.0,76,0,4.47,RU,2020-08-24 02:30:26
391,Sindou,10.67,-5.17,70.77,93,84,4.0,BF,2020-08-24 02:30:27
392,Bowling Green,36.99,-86.44,78.8,78,1,5.46,US,2020-08-24 02:30:27
393,Caraquet,47.79,-64.94,60.8,93,1,5.82,CA,2020-08-24 02:30:27
394,Charlestown,-32.95,151.67,64.99,40,0,4.76,AU,2020-08-24 02:30:27
395,Pueblo Bello,8.2,-76.53,74.7,92,100,3.11,CO,2020-08-24 02:30:27
396,Staroshcherbinovskaya,46.63,38.67,61.97,46,0,5.57,RU,2020-08-24 02:30:28
397,Cascais,38.7,-9.42,68.0,91,7,14.65,PT,2020-08-24 02:30:28
398,Krasnoselkup,65.7,82.47,61.38,64,26,8.12,RU,2020-08-24 02:30:28
399,Kavaratti,10.57,72.64,81.7,78,99,14.05,IN,2020-08-24 02:30:28
400,Plouzane,48.38,-4.62,60.8,93,90,4.7,FR,2020-08-24 02:30:28
401,Sirur,18.83,74.38,76.57,76,100,16.31,IN,2020-08-24 02:30:29
402,Oromocto,45.84,-66.48,71.6,64,90,4.7,CA,2020-08-24 02:27:39
403,Landazuri,6.22,-73.81,66.67,94,100,2.95,CO,2020-08-24 02:30:29
404,Kalabo,-14.97,22.68,55.83,44,34,5.59,ZM,2020-08-24 02:30:29
405,Mendoza,-32.89,-68.83,53.6,30,0,3.36,AR,2020-08-24 02:30:30
406,Mosquera,4.71,-74.23,53.6,87,40,4.7,CO,2020-08-24 02:30:30
407,Soyo,-6.13,12.37,72.61,91,67,5.91,AO,2020-08-24 02:30:30
408,Colares,38.8,-9.45,68.0,90,16,15.01,PT,2020-08-24 02:30:30
409,Camapua,-19.53,-54.04,70.99,46,0,10.74,BR,2020-08-24 02:30:30
410,Kaura Namoda,12.59,6.58,73.13,89,92,10.54,NG,2020-08-24 02:30:31
411,Harper,4.38,-7.72,75.9,81,100,7.11,LR,2020-08-24 02:30:31
412,Garowe,8.41,48.48,72.82,69,78,22.91,SO,2020-08-24 02:30:31
413,Dedza,-14.38,34.33,50.61,99,64,2.06,MW,2020-08-24 02:30:31
414,Awbari,26.59,12.78,73.45,31,0,5.3,LY,2020-08-24 02:30:31
415,Sayyan,15.17,44.32,64.74,59,95,2.64,YE,2020-08-24 02:30:32
416,Groningen,53.25,6.75,60.01,87,20,8.05,NL,2020-08-24 02:30:32
417,Inirida,3.87,-67.92,72.07,94,97,1.59,CO,2020-08-24 02:30:32
418,Chicla,-11.71,-76.27,47.66,62,87,2.39,PE,2020-08-24 02:30:32
419,Methoni,36.82,21.7,80.01,68,0,7.34,GR,2020-08-24 02:30:32
420,Akureyri,65.68,-18.09,37.4,93,100,2.24,IS,2020-08-24 02:30:33
421,Goderich,43.75,-81.72,80.01,70,0,1.01,CA,2020-08-24 02:30:33
422,Melo,-32.37,-54.18,50.07,91,0,9.4,UY,2020-08-24 02:30:33
423,Orito,0.68,-76.88,70.39,80,15,2.8,CO,2020-08-24 02:30:33
424,Rameshki,57.34,36.05,60.08,96,100,8.1,RU,2020-08-24 02:30:33
425,Nador,35.17,-2.93,77.0,88,20,3.87,MA,2020-08-24 02:27:06
426,Karakol,42.49,78.39,71.71,24,29,2.8,KG,2020-08-24 02:30:34
427,Conil,44.97,3.72,44.42,100,95,4.21,FR,2020-08-24 02:30:34
428,Cumra,37.57,32.77,60.8,51,0,2.24,TR,2020-08-24 02:30:34
429,Freeport,40.66,-73.58,77.0,88,20,6.93,US,2020-08-24 02:28:39
430,Rypin,53.07,19.41,59.0,75,0,1.01,PL,2020-08-24 02:30:35
431,Marienburg,54.04,19.03,59.0,82,0,8.05,PL,2020-08-24 02:30:35
432,Camana,-16.62,-72.71,59.47,77,99,2.84,PE,2020-08-24 02:29:07
433,Kem,64.96,34.58,53.38,91,0,9.55,RU,2020-08-24 02:30:35
434,Biltine,14.53,20.92,75.74,83,96,5.95,TD,2020-08-24 02:30:35
435,Astaneh-Ye Ashrafiyeh,37.26,49.94,62.6,100,90,9.17,IR,2020-08-24 02:30:36
436,Haputale,6.77,80.96,80.6,94,20,5.82,LK,2020-08-24 02:30:36
437,Tessalit,20.2,1.01,86.7,45,100,12.53,ML,2020-08-24 02:30:36
438,Faya,18.39,42.45,71.6,56,54,2.59,SA,2020-08-24 02:30:36
439,Trincomalee,8.57,81.23,84.18,66,81,14.34,LK,2020-08-24 02:30:36
440,Ouadda,8.08,22.4,65.17,95,90,2.24,CF,2020-08-24 02:30:36
441,Ruangwa,-10.07,38.93,66.16,85,84,1.88,TZ,2020-08-24 02:30:37
442,Manicore,-5.81,-61.3,76.37,52,0,1.95,BR,2020-08-24 02:30:37
443,Axim,4.87,-2.24,73.11,89,25,8.86,GH,2020-08-24 02:30:37
444,Sao Gabriel Da Cachoeira,-0.13,-67.09,77.02,69,90,1.57,BR,2020-08-24 02:30:37
445,Hopkinsville,36.87,-87.49,77.0,88,1,4.38,US,2020-08-24 02:30:37
446,Richards Bay,-28.78,32.04,59.74,81,0,2.91,ZA,2020-08-24 02:30:38
447,Villa Carlos Paz,-31.42,-64.5,60.01,37,0,8.05,AR,2020-08-24 02:30:38
448,Ipixuna,-1.76,-48.8,77.0,94,45,6.93,BR,2020-08-24 02:30:38
449,Pemba,-12.97,40.52,71.6,78,40,5.82,MZ,2020-08-24 02:30:38
450,Bengkulu,-3.8,102.27,85.51,61,45,5.99,ID,2020-08-24 02:30:39
451,Kolokani,13.57,-8.03,73.18,88,80,6.38,ML,2020-08-24 02:30:39
452,Roald,62.58,6.13,50.0,71,82,14.99,NO,2020-08-24 02:30:39
453,Kattivakkam,13.22,80.32,80.6,78,75,4.7,IN,2020-08-24 02:30:39
454,Mwinilunga,-11.74,24.43,52.79,62,54,3.96,ZM,2020-08-24 02:30:39
455,Shieli,44.17,66.75,86.65,19,0,13.58,KZ,2020-08-24 02:30:40
456,Gorssel,52.2,6.2,62.01,88,100,5.99,NL,2020-08-24 02:30:40
457,Asosa,10.07,34.53,60.71,96,100,1.68,ET,2020-08-24 02:30:40
458,Panama City,8.99,-79.52,80.6,83,99,2.24,PA,2020-08-24 02:28:02
459,Henties Bay,-22.12,14.28,54.0,93,0,5.01,NA,2020-08-24 02:30:41
460,Novyy Urengoy,66.08,76.63,54.48,90,100,13.44,RU,2020-08-24 02:30:41
461,Otavalo,0.23,-78.27,55.4,87,40,3.36,EC,2020-08-24 02:30:41
462,Gogrial,8.53,28.1,71.31,92,100,2.98,SS,2020-08-24 02:30:41
463,Gorgan,36.84,54.43,68.0,94,90,6.93,IR,2020-08-24 02:30:42
464,Salta,-24.79,-65.41,48.2,49,0,2.24,AR,2020-08-24 02:30:42
465,Pervomayskiy,53.25,40.29,57.92,75,80,5.86,RU,2020-08-24 02:30:42
466,Kareli,22.92,79.07,79.66,78,78,10.22,IN,2020-08-24 02:30:42
467,Soyaux,45.65,0.2,57.2,93,0,3.56,FR,2020-08-24 02:30:42
468,Winsum,53.33,6.52,60.01,87,20,8.05,NL,2020-08-24 02:30:43
469,Porto Novo,6.5,2.6,72.79,89,100,5.57,BJ,2020-08-24 02:30:43
470,Masyaf,35.07,36.34,71.6,53,0,4.7,SY,2020-08-24 02:30:43
471,Bhabua,25.05,83.62,87.08,66,7,8.21,IN,2020-08-24 02:30:43
472,Provins,48.58,3.17,55.4,76,43,3.36,FR,2020-08-24 02:30:43
473,Barsi,18.23,75.7,76.62,79,97,12.91,IN,2020-08-24 02:30:44
474,Hasilpur,29.71,72.56,91.38,56,0,10.8,PK,2020-08-24 02:30:44
475,Sidi Ali,36.1,0.42,68.74,94,0,1.59,DZ,2020-08-24 02:30:44
476,Tubuala,9.52,-79.03,78.8,94,40,4.7,PA,2020-08-24 02:30:44
477,Muisne,0.6,-80.03,72.99,85,100,9.64,EC,2020-08-24 02:30:44
478,Campo Verde,-20.42,-54.07,68.0,52,0,11.41,BR,2020-08-24 02:30:45
479,Itaqui,-29.13,-56.55,55.69,88,0,11.07,BR,2020-08-24 02:28:14
480,Shubarkuduk,49.14,56.49,62.2,57,17,10.83,KZ,2020-08-24 02:30:45
481,Kolyvan,55.31,82.74,57.2,93,3,4.47,RU,2020-08-24 02:30:45
482,Thunder Bay,48.4,-89.32,66.2,93,75,6.93,CA,2020-08-24 02:30:46
483,Barra,-11.09,-43.14,77.16,60,55,9.24,BR,2020-08-24 02:28:02
484,Aksu,41.12,80.26,84.99,23,0,3.56,CN,2020-08-24 02:30:46
485,Wad Rawah,15.16,33.14,82.13,63,100,18.86,SD,2020-08-24 02:30:46
486,Doka,13.52,35.77,67.44,99,100,7.07,SD,2020-08-24 02:30:46
487,Volsk,52.03,47.38,54.84,78,0,4.34,RU,2020-08-24 02:29:31
488,Kikwit,-5.04,18.82,74.39,77,100,1.9,CD,2020-08-24 02:30:47
489,Mitsamiouli,-11.38,43.28,75.4,69,100,5.66,KM,2020-08-24 02:30:47
490,Bhit Shah,25.8,68.49,89.24,66,92,12.64,PK,2020-08-24 02:30:47
491,Peniche,39.36,-9.38,66.99,92,69,3.0,PT,2020-08-24 02:30:47
492,Sharanga,57.18,46.54,56.59,82,89,5.97,RU,2020-08-24 02:30:48
493,Kangasala,61.46,24.08,59.0,93,20,5.82,FI,2020-08-24 02:30:48
494,Xai-Xai,-25.05,33.64,60.67,79,0,10.6,MZ,2020-08-24 02:30:48
495,Novosokolniki,56.35,30.16,58.05,95,100,5.7,RU,2020-08-24 02:30:48
496,Manadhoo,5.77,73.38,83.79,67,53,6.29,MV,2020-08-24 02:30:48
497,Les Escoumins,48.11,-69.02,55.2,91,77,4.38,CA,2020-08-24 02:30:49
498,Awassa,7.05,38.47,60.04,83,98,3.49,ET,2020-08-24 02:30:49
499,Puerto Ayacucho,5.66,-67.62,73.29,91,96,3.33,VE,2020-08-24 02:30:49
500,Vila Do Maio,15.13,-23.22,80.6,83,40,5.82,CV,2020-08-24 02:30:49
501,Olafsvik,64.89,-23.71,49.41,74,10,3.27,IS,2020-08-24 02:30:49
502,Maarianhamina,60.1,19.93,60.8,82,20,5.82,AX,2020-08-24 02:30:50
503,Pittsfield,42.45,-73.25,69.8,88,1,8.05,US,2020-08-24 02:30:50
504,Chicama,-7.84,-79.15,59.88,84,10,5.1,PE,2020-08-24 02:30:50
505,Moshenskoye,58.51,34.59,58.69,99,100,3.42,RU,2020-08-24 02:30:50
506,Puquio,-14.7,-74.13,49.8,55,85,2.53,PE,2020-08-24 02:30:50
507,Bladel,51.37,5.22,61.0,82,90,10.29,NL,2020-08-24 02:30:50
508,Tabou,4.42,-7.35,75.69,82,100,6.98,CI,2020-08-24 02:30:51
509,Afua,-0.16,-50.39,76.78,91,84,7.05,BR,2020-08-24 02:30:51
510,Bonavista,48.65,-53.11,61.0,80,82,10.0,CA,2020-08-24 02:30:51
511,Manaus,-3.1,-60.02,78.8,69,0,6.93,BR,2020-08-24 02:30:51
512,Celldomolk,47.26,17.15,66.2,77,44,2.24,HU,2020-08-24 02:30:51
513,San Carlos De Bariloche,-41.15,-71.31,41.0,75,90,3.36,AR,2020-08-24 02:26:35
514,Inhambane,-23.86,35.38,63.28,79,0,7.76,MZ,2020-08-24 02:30:52
515,Fort-Shevchenko,44.51,50.26,72.41,55,96,11.23,KZ,2020-08-24 02:30:52
516,Tank,32.22,70.38,89.1,53,55,9.26,PK,2020-08-24 02:30:52
517,Grand Baie,-20.02,57.58,71.01,73,38,5.99,MU,2020-08-24 02:30:52
518,Gayeri,12.65,0.49,75.18,86,100,10.29,BF,2020-08-24 02:30:53
519,Marathon,44.9,-89.77,75.2,83,1,4.52,US,2020-08-24 02:30:53
520,Atar,20.52,-13.05,87.3,53,27,11.43,MR,2020-08-24 02:30:53
521,Qaqortoq,60.72,-46.03,44.6,75,20,4.7,GL,2020-08-24 02:29:04
522,Beyneu,45.32,55.2,66.47,50,100,8.05,KZ,2020-08-24 02:30:53
523,Pyskowice,50.4,18.63,60.01,86,11,4.0,PL,2020-08-24 02:30:54
524,Krivosheino,57.34,83.93,58.64,85,76,3.09,RU,2020-08-24 02:30:54
525,Humaita,-7.51,-63.02,74.12,50,0,2.1,BR,2020-08-24 02:30:54
526,Balaguer,41.79,0.81,66.0,77,35,8.05,ES,2020-08-24 02:30:54
527,Zheleznogorsk,52.33,35.37,55.35,75,0,8.23,RU,2020-08-24 02:30:54
528,Vilcun,-38.65,-72.23,51.8,76,90,5.82,CL,2020-08-24 02:30:55
529,Samus,56.75,84.7,57.0,92,28,4.54,RU,2020-08-24 02:30:55
530,Bara,10.37,10.73,70.84,92,100,5.21,NG,2020-08-24 02:30:55
531,Makaryev,57.88,43.81,59.77,78,98,6.26,RU,2020-08-24 02:30:55
532,Port-Gentil,-0.72,8.78,74.79,79,100,12.15,GA,2020-08-24 02:30:56
533,Bubaque,11.28,-15.83,80.67,80,100,8.95,GW,2020-08-24 02:30:56
534,Meulaboh,4.14,96.13,84.49,70,12,5.19,ID,2020-08-24 02:30:56
535,Ciucea,46.95,22.82,64.4,93,34,2.77,RO,2020-08-24 02:30:56
536,Talca,-35.43,-71.67,51.8,62,100,5.82,CL,2020-08-24 02:30:35
537,Yauya,-8.98,-77.3,51.37,68,34,4.74,PE,2020-08-24 02:30:57
538,Kajaani,64.23,27.73,55.4,93,20,5.82,FI,2020-08-24 02:30:06
539,Waounde,15.26,-12.87,79.72,79,97,10.67,SN,2020-08-24 02:30:57
540,Waterloo,43.47,-80.52,75.0,83,1,2.24,CA,2020-08-24 02:26:48
541,Chandil,22.97,86.05,80.6,94,75,7.14,IN,2020-08-24 02:30:58
542,Duartina,-22.41,-49.4,59.0,87,0,12.75,BR,2020-08-24 02:30:58
543,Gat,31.61,34.76,77.0,30,0,2.46,IL,2020-08-24 02:30:58
544,Paramonga,-10.67,-77.83,59.47,86,35,7.07,PE,2020-08-24 02:30:58
545,Kirando,-7.42,30.6,72.79,58,84,5.73,TZ,2020-08-24 02:30:58
546,Berbera,10.44,45.01,88.86,45,0,21.23,SO,2020-08-24 02:30:59
547,Sao Jose Da Coroa Grande,-8.9,-35.15,72.84,79,100,4.16,BR,2020-08-24 02:30:59
548,Vertientes,21.26,-78.15,80.6,83,75,17.22,CU,2020-08-24 02:30:59
549,Manyana,-23.4,21.72,53.82,52,0,7.99,BW,2020-08-24 02:30:59
550,General Pico,-35.66,-63.76,52.99,50,0,12.44,AR,2020-08-24 02:28:04
551,Tucurui,-3.77,-49.67,71.85,93,34,3.51,BR,2020-08-24 02:31:00
552,Nisia Floresta,-6.09,-35.21,73.4,88,20,6.93,BR,2020-08-24 02:31:00
553,Saint-Pierre,-21.34,55.48,66.2,59,24,5.82,RE,2020-08-24 02:31:00
554,Tres Lagoas,-20.75,-51.68,64.09,55,0,8.21,BR,2020-08-24 02:31:00
555,Araouane,18.9,-3.53,92.68,35,0,14.14,ML,2020-08-24 02:31:01
556,Tabriz,38.08,46.29,55.4,87,20,4.7,IR,2020-08-24 02:31:01
557,Le Port,-20.94,55.29,69.8,52,21,16.11,RE,2020-08-24 02:31:01
558,Bayan,46.08,127.4,68.0,98,100,7.29,CN,2020-08-24 02:31:01
559,Mangan,27.52,88.53,83.7,47,0,3.87,IN,2020-08-24 02:31:02
560,Oranjemund,-28.55,16.43,51.87,94,1,6.44,NA,2020-08-24 02:31:02
561,Talara,-4.58,-81.27,61.3,85,0,13.56,PE,2020-08-24 02:31:02
562,Alta Floresta,-9.88,-56.09,74.93,39,19,1.32,BR,2020-08-24 02:31:02
563,Gelibolu,40.41,26.67,71.6,73,4,10.29,TR,2020-08-24 02:31:02
564,Misratah,32.38,15.09,80.91,75,90,12.88,LY,2020-08-24 02:31:03
565,Montgomery,39.15,-77.2,73.4,83,1,4.52,US,2020-08-24 02:31:03
566,Iralaya,15.0,-83.23,81.07,82,10,7.63,HN,2020-08-24 02:31:03
567,Nsanje,-16.92,35.26,62.42,84,53,1.86,MW,2020-08-24 02:31:03
568,Storforshei,66.4,14.52,44.46,76,90,3.44,NO,2020-08-24 02:31:04
569,Mecca,21.43,39.83,88.61,25,11,4.83,SA,2020-08-24 02:28:57
570,Krasnogorskiy,54.6,61.23,53.98,87,8,8.16,RU,2020-08-24 02:31:04
571,Kapustin Yar,48.58,45.74,60.3,54,0,6.04,RU,2020-08-24 02:31:04
572,Blagoyevo,63.37,47.92,57.99,93,100,6.2,RU,2020-08-24 02:31:04
573,Zhelyabovka,45.4,34.76,62.55,68,0,1.95,UA,2020-08-24 02:29:17
574,Tapes,-30.67,-51.4,57.74,86,0,13.49,BR,2020-08-24 02:31:05
575,Geraldton,-28.77,114.6,60.8,72,0,9.17,AU,2020-08-24 02:30:37
576,Talas,38.69,35.55,55.4,71,0,3.36,TR,2020-08-24 02:31:05
577,Ouahigouya,13.58,-2.42,77.9,75,100,11.61,BF,2020-08-24 02:31:05
578,Nikolayevka,53.13,47.2,55.09,80,2,4.05,RU,2020-08-24 02:31:06
579,Keetmanshoop,-26.58,18.13,51.19,41,0,3.44,NA,2020-08-24 02:31:06
580,Iranshahr,27.2,60.68,89.6,49,94,4.29,IR,2020-08-24 02:31:06
581,Benghazi,32.12,20.07,78.22,79,0,10.85,LY,2020-08-24 02:31:06
582,Kashi,39.45,75.98,82.4,30,0,1.7,CN,2020-08-24 02:31:07
583,Kaspiyskiy,45.39,47.37,65.86,50,60,11.12,RU,2020-08-24 02:31:07
584,Kurchum,48.57,83.65,72.66,34,99,3.98,KZ,2020-08-24 02:31:07
585,Mollendo,-17.02,-72.01,58.59,80,99,3.8,PE,2020-08-24 02:31:07
586,Tarpon Springs,28.15,-82.76,82.99,94,40,4.7,US,2020-08-24 02:31:08
587,Panaba,21.28,-88.27,78.4,94,97,4.36,MX,2020-08-24 02:31:08
588,Saint-Doulchard,47.1,2.35,57.2,82,70,4.88,FR,2020-08-24 02:31:08
589,Yarkovo,57.4,67.08,53.01,89,10,8.39,RU,2020-08-24 02:31:08
590,Severodvinsk,64.56,39.83,59.0,100,75,4.47,RU,2020-08-24 02:31:08
591,San Juan,-31.54,-68.54,53.51,35,0,3.62,AR,2020-08-24 02:30:36
592,Oil City,41.43,-79.71,68.0,100,1,2.93,US,2020-08-24 02:31:09
593,Les Cayes,18.2,-73.75,80.98,83,100,13.42,HT,2020-08-24 02:31:09
594,Chandia,23.65,80.7,79.74,79,51,10.22,IN,2020-08-24 02:31:09
595,Zhanakorgan,43.91,67.25,88.16,17,23,17.67,KZ,2020-08-24 02:31:09
596,Jinotega,13.09,-86.0,65.8,100,74,2.3,NI,2020-08-24 02:31:10
597,Mahon,39.89,4.27,75.2,60,0,17.22,ES,2020-08-24 02:29:31
598,Konza,-1.74,37.13,60.8,93,75,5.82,KE,2020-08-24 02:31:10
599,Asfi,32.3,-9.24,70.45,77,39,15.79,MA,2020-08-24 02:31:10
600,Reconquista,-29.15,-59.65,60.39,64,0,9.84,AR,2020-08-24 02:27:10
601,Vallenar,-28.57,-70.76,49.5,80,23,4.14,CL,2020-08-24 02:31:11
602,Harnosand,62.63,17.94,52.0,93,100,9.17,SE,2020-08-24 02:31:11
603,Nyagan,62.14,65.39,54.63,85,100,8.63,RU,2020-08-24 02:31:11
604,Sorrento,40.63,14.37,77.0,78,20,3.36,IT,2020-08-24 02:31:12
605,Macas,-2.32,-78.12,66.22,81,78,0.4,EC,2020-08-24 02:31:12
606,Ibipeba,-11.64,-42.01,67.1,78,17,8.86,BR,2020-08-24 02:31:12
607,Mahibadhoo,3.78,72.97,83.39,63,29,1.68,MV,2020-08-24 02:31:12
608,Summerville,33.02,-80.18,78.8,94,40,4.34,US,2020-08-24 02:27:20
609,Ambatondrazaka,-17.83,48.42,51.35,92,93,3.38,MG,2020-08-24 02:31:13
610,Banda,25.48,80.33,82.76,75,14,12.53,IN,2020-08-24 02:31:13
611,Troitsko-Pechorsk,62.71,56.2,53.35,83,100,4.18,RU,2020-08-24 02:31:13
612,Santa Cruz Cabralia,-16.28,-39.02,66.2,88,75,8.05,BR,2020-08-24 02:31:13
613,Mayumba,-3.43,10.66,73.35,87,100,6.64,GA,2020-08-24 02:31:14
614,Santiago,-33.46,-70.65,52.0,66,75,5.82,CL,2020-08-24 02:27:25
615,Gberia Fotombu,9.88,-11.17,68.95,99,84,4.0,SL,2020-08-24 02:31:14
616,Chodavaram,17.83,82.95,84.2,89,75,9.17,IN,2020-08-24 02:31:14
